20160606	Porygon	137
20160621	Scyther	123
20160705	Tangela	114
20160720	Vaporeon	134
20160809	Wartortle	8
20160822	Zapdos	145
20160905	Ampharos	181
20160919	Blissey	242
20161003	Crobat	169
20161018	Donphan	232
20161109	Entei	244
20161123	Feraligatr	160
20161207	Gligar	207
20170104	Heracross	214
20170118	Igglybuff	174
20170207	Jumpluff	189
20170221	Kingdra	230
20170307	Larvitar	246
20170328	Misdreavus	200
20170411	Noctowl	164
20170425	Octillery	224
20170509	Politoed	186
20170523	Quilava	156
20170607	Raikou	243
20170620	Steelix	208
20170704	Typhlosion	157
20170718	Umbreon	197
20170802	Wobbuffet	202
20170815	Xatu	178
20170829	Yanma	193
20170912	Aggron	306
20170926	Blaziken	257
20171010	Cacturne	332
20171024	Deoxys	386
20171107	Exploud	295
20171121	Flygon	330
20171205	Grovyle	253
20171219	Hariyama	297
20180109	Illumise	314
20180123	Jirachi	385
20180206	Kyogre	382
20180220	Latios	381
20180306	Metagross	376
20180320	Nuzleaf	274
20180403	Poochyena	261
20180417	Rayquaza	384
20180501	Slaking	289
20180515	Tropius	357
20180528	Vigoroth	288
20180611	Wailord	321
20180626	Zangoose	335
20180710	Abomasnow	460
20180724	Buizel	418
20180807	Chimchar	390
20180820	Dialga	483
20180905	Electivire	466
20180918	Froslass	478
20181002	Grotle	388
20181016	Heatran	485
20181030	Infernape	392
20181113	Kricketune	402
20181127	Luxray	405
20181211	Munchlax	446
20181224	Palkia	484
20190108	Riolu	447
20190122	Snover	459
20190205	Torterra	389
20190219	Uxie	480
20190305	Vespiquen	416
20190319	Weavile	461
20190402	Yanmega	469
20190416	Archeops	567
20190430	Beartic	614
20190514	Carracosta	565
20190528	Ducklett	580
20190611	Emolga	587
20190625	Fraxure	611
20190709	Gigalith	526
20190722	Hydreigon	635
20190806	Joltik	595
20190819	Krokorok	552
20190902	Lillipup	506

