796,vi,K,Kumizar,Kumizar.png,"This friendly Pokemon is very affectionate, always jumping onto those it calls friends. However, it does not realize that its spikes cause pain, causing trainers to avoid making it happy.",,,,,,
797,vi,K,Kiwanon,Kiwanon.png,"They retract into their bodies and roll into their opponents to knock them out. They always try their hardest to make friends and be friendly, but they always ends up unintentionally harming others.",,,,,,
798,vi,K,Kukumetis,Kukumetis.png,"No longer caring about making actual friends, its power has drastically increased, as well as its faithfulness to itself. If someone tries to be friendly towards them, they may accept, but on the inside it will not really sit in.",,,,,,
799,vi,D,Duikin,Duikin.png,"Inhaling smoke from its tail causes you to feel valuable and beautiful. It is rare, but you may see a newborn Duikin float slightly for five seconds before dropping softly.",,,,,,
800,vi,K,Kindelo,Kindelo.png,The smoke that emanates from their tails and horns from the flames can soothe those who are feeling stressed or angry. It can engulf itself in flames and teleport from one place to another.,,,,,,
801,vi,D,Duithikal,Duithikal.png,"These Pokemon charge and gallop on air, releasing a sweet odor as their flames burn. They can turn into smoke and move freely to get into different areas that are sometimes restricted.",,,,,,
802,vi,B,Barkrest,Barkrest.png,"They will use their hand-like tails to help them do tasks, such as hunting, more efficiently. It is not really friendly towards humans and will not trust them until they prove their worth.",,,,,,
803,vi,P,Palmutt,Palmutt.png,"These Pokemon are extremely swift and creepy, as they may stalk you with their tail-hand bared. They can hang from different supports and watch others fluently to get an understanding of their pattern.",,,,,,
804,vi,T,Typhang,Typhang.png,"One glare from their eyes can paralyze an opponent, giving them time to do what they please. They are extremely observant and will watch you until it is ready to strike.",,,,,,
805,vi,F,Feemosk,Feemosk.png,They usually live around areas with moist land around it. They use their feelers to sift through mud and dirt.,,,,,,
806,vi,M,Mosquench,Mosquench.png,"As it takes blood away, it actually fills it with toxins and disease before re-administering it. They fly around and silently land on the backs of other Pokemon in order to drain them of their blood.",,,,,,
807,vi,T,Tarmin,Tarmin.png,These Pokemon love to play in snow and use their prehensile wings to throw snowballs at each other. They are able to see through snowstorms thanks to a special film covering their eyes.,,,,,,
