198,ii,L,Limbetaur,Limbetaur.png,"They swing from branches and vines using their long tails. Their movements are so swift and graceful that they are nicknamed ""The Grove Gymnasts.""",,
199,ii,T,Taurgile,Taurgile.png,"The seed in its tail has sprouted, giving it more agility. Its tail allows it to swing from tree branches, before it lets go and takes off with its larger wings.",,
200,ii,B,Brevithe,Brevithe.png,The flower at the end of its tail gives off wind that allows it to move quicker and precisely. Its fluent motions and agility as it leaps from branches cannot be matched by any other Pokémon.,,
201,ii,J,Jersinge,Jersinge.png,"The stripe on their heads glow when they use Fire-type moves. Their wings allow it to fly short distances, allowing them to attack from above.",,
202,ii,B,Bursinge,Bursinge.png,It loves to laugh at the misery of others. It is said that their flames can never be extinguished and will burn hotter and hotter.,,
203,ii,A,Arsonite,Arsonite.png,"According to folklore, if a person dies, an ARSONITE will burn the body, but leave the soul for its consumption. It loves the screams of agony it causes when it burns a human, knowing that its flames' burn will never go away.",,
204,ii,Q,Quendro,Quendro.png,"They spend most of their time playing in or near the water. Their furry tails are said to be a symbol of peace and if they are droopy or oily, it is a sign that QUENDRO has been injured.",,
205,ii,D,Draquatik,Draquatik.png,"It loves laying at the bottom of the sea, viewing all battles from the dark crevices it calls home. Using its crest and whiskers, it is able to read water currents and know when the water has been tainted.",,
206,ii,T,Turategon,Turategon.png,Its whiskers and fins are able to detect when a tsunami or massive rainstorm is about to occur. It is highly recognized for helping civilians that are plagued by said disasters.,,
207,ii,M,Martemid,Martemid.png,"A very agile Pokémon, Martemid is able to run extremely quick in order to escape its enemies. If approached, they will shake erratically out of fright and release heat.",,
208,ii,M,Martal,Martal.png,MARTAL's hands are able to be set ablaze to help it in battles. It hates intimidation and will always lunge at enemies that anger it.,,
209,ii,E,Erthaur,Erthaur.png,These Pokémon are able to create minuscule earthquakes by laying on their backs and spinning rapidly. They travel in groups and the one with the biggest crest is the leader.,,
210,ii,T,Terraur,Terraur.png,They cause massive earthquakes by driving their legs into the ground and vibrating them. They live buried deep underground.,,
211,ii,F,Flammapple,Flammapple.png,"The flames that erupt from FLAMMAPPLE's body resemble leaves, fooling many people who encounter them. Their bodies are hollow, but can still pack an explosive charge when these Pokémon are startled.",,
212,ii,P,Peachar,Peachar.png,Its able to envelop its body in its green flame if humans get too close. The fuzz on its body can get stuck to your body and will cause a burning sensation on the skin within twenty minutes.,,
213,ii,P,Pyrear,Pyrear.png,It explodes when it is frightened. Pokemon and humans who attempt to eat it end up getting a very unpleasant surprise.,,
214,ii,H,Hissano,Hissano.png,"Hissano use their rattles at the end of their tails to communicate with each other. They mainly feast on leaves, but love to eat rodents on occasion.",,
215,ii,D,Disgoon,Disgoon.png,"This peculiar Pokémon's appearance has puzzled scientists for centuries. It hangs from trees and closes its actual eyes, which are on its bottom half, making it appear as a doll as it awaits evolution.",,
